TF	Gene
ATF3	CSMD1
ATF3	DDX11L10
ATF3	DPY19L2P1
ATF3	EFNA2
ATF3	EPO
ATF3	FEM1C
ATF3	FLJ42102
ATF3	GGT3P
ATF3	GLI2
ATF3	HIST2H3A
ATF3	HMGN2P46
ATF3	HSPA1L
ATF3	KRT71
ATF3	KRT8P41
ATF3	LIN28B
ATF3	LINC00358
ATF3	LINC00701
ATF3	LINC01460
ATF3	MSANTD2
ATF3	MSX1
ATF3	NDST4
ATF3	NRG2
ATF3	PAX4
ATF3	PCDHB1
ATF3	PRIMA1
ATF3	PVRL3-AS1
ATF3	RBBP8NL
ATF3	ROPN1
ATF3	SERPINB11
ATF3	SOCS1
ATF3	SP8
ATF3	STK19
ATF3	TBC1D3I
ATF3	TNFRSF11B
ATF3	WDR74
ATF3	WFDC21P
ATF3	AURKC
ATF3	HIST1H2BJ
ATF3	PITX3
ATF3	RFTN2
ATF3	TPD52L3
ATF3	ASB15
ATF3	CASC17
ATF3	HYAL1
ATF3	KRTAP19-8
ATF3	NT5C1A
ATF3	OR2AE1
ATF3	P4HA2-AS1
ATF3	MED18
ATF3	MED10
ATF3	SLC25A3
ATF3	SPATC1L
ATF3	LINC00895
ATF3	ATP4B
ATF3	KCNK9
ATF3	TIAM2
ATF3	CLN3
ATF3	ILF3-AS1
ATF3	SNHG1
ATF3	XKR9
ATF3	ZCCHC12
ATF3	C9orf129
ATF3	CALCR
ATF3	CEACAM16
ATF3	CRX
ATF3	CTAGE11P
ATF3	DSC2
ATF3	EMX2
ATF3	F9
ATF3	FADS6
ATF3	FUNDC2
ATF3	HAP1
ATF3	IFNA10
ATF3	INGX
ATF3	LINC00639
ATF3	LINC01299
ATF3	LRRC3C
ATF3	LY6G6C
ATF3	METTL21C
ATF3	MGC32805
ATF3	MNX1
ATF3	OR2W5
ATF3	OR5K3
ATF3	PIP5KL1
ATF3	PNMA5
ATF3	RHOB
ATF3	RRN3P1
ATF3	SERPINB12
ATF3	SRSF7
ATF3	TCTE1
ATF3	TIGD3
ATF3	TMCO5A
ATF3	TMEM247
ATF3	CPSF4L
ATF3	HSD11B2
ATF4	DDIT3
ATF4	EIF1
ATF4	CBX4
ATF4	PSMB4
ATF4	BRD2
ATF4	FADS6
ATF4	ISCU
ATF4	MATN1
ATF4	PRR14
ATF4	SSU72
ATF4	ZC3H12A
ATF4	EEF1D
ATF4	FSD2
ATF4	LINC00632
ATF4	POMC
ATF4	PPIE
ATF4	PPP1R15A
ATF4	RAB25
ATF4	SIRT4
ATF4	SMDT1
ATF4	TPTE2P6
ATF4	ERBB3
ATF4	SNHG1
ATF4	TMEM208
ATF4	AASDHPPT
ATF4	ABT1
ATF4	ACLY
ATF4	ACTN3
ATF4	ADAMTS6
ATF4	ADAT1
ATF4	AKR7L
ATF4	ALKBH2
ATF4	ANKK1
ATF4	API5
ATF4	ARHGAP35
ATF4	ARMC5
ATF4	ASAP1-IT2
ATF4	ASIC1
ATF4	ATXN1L
ATF4	AUH
ATF4	BAAT
ATF4	C12orf71
ATF4	C2orf78
ATF4	C7orf61
ATF4	CALML3
ATF4	CCER2
ATF4	CDC37
ATF4	CELF4
ATF4	CLASP2
ATF4	CLCN3
ATF4	CLCNKB
ATF4	CNDP2
ATF4	CNIH2
ATF4	CNTROB
ATF4	COPS7B
ATF4	COX6A1
ATF4	CPA5
ATF4	CPO
ATF4	CSNK1E
ATF4	CTAG1B
ATF4	CXorf38
ATF4	CXXC1
ATF4	CYB5D2
ATF4	DCLRE1A
ATF4	DCTN3
ATF4	DDX51
ATF4	DDX58
ATF4	DGCR6L
ATF4	DISC1-IT1
ATF4	DNAJB1
ATF4	DNAJB8-AS1
ATF4	DNAJC9-AS1
ATF4	DOC2A
ATF4	DUSP11
ATF4	DUSP8
ATF4	EFEMP2
ATF4	EIF4EBP3
ATF4	EIF6
ATF4	ELP5
ATF4	EMC10
ATF4	EMD
ATF4	ENTPD1
ATF4	FADS1
ATF4	FLJ13224
